role,name,team
student,JunWei96,CS2103T-W12-3
admin,damithc,
student,anubh-v,CS2103T-W12-3
admin,geshuming,
tutor,testathorTutor,CS2103T-W12-3
tutor,testathorTutor,CS2103T-W12-4
tutor,anotherTutor,CS2103T-W12-4
tutor,testathorTutor,CS2103T-W12-3
student,testathorStudent,CS2103T-W12-3
student,damithc,CS2103T-W12-3
student,somestudent,CS2103T-W12-4
student,RonakLakhotia,CS2103T-W12-4
student,ptvrajsk,CS2103T-W12-3
student,seanlowjk,CS2103T-W12-3
student,kkangs0226,CS2103T-W12-3
student,dingyuchen,CS2103T-W12-3
student,AudreyFelicio,CS2103T-W12-4
